50 1225
16 28 97
16 29 37
16 30 43
16 31 91
16 32 69
16 33 81
16 34 22
16 35 5
16 36 47
16 37 2
16 38 40
16 39 72
16 40 72
16 41 65
16 42 78
16 43 99
16 44 5
16 45 29
16 46 23
16 47 40
16 48 98
16 49 23
17 18 87
17 19 67
17 20 4
17 21 58
17 22 95
17 23 83
17 24 1
17 25 61
17 26 63
17 27 47
17 28 51
17 29 68
17 30 4
17 31 16
17 32 87
17 33 70
17 34 39
17 35 66
17 36 60
17 37 80
17 38 95
17 39 89
17 40 41
17 41 31
17 42 85
17 43 88
17 44 90
17 45 84
17 46 89
17 47 52
17 48 18
17 49 54
18 19 14
18 20 31
18 21 75
18 22 23
18 23 67
18 24 65
18 25 38
18 26 93
18 27 45
18 28 48
18 29 11
18 30 32
18 31 17
18 32 89
18 33 89
18 34 74
18 35 34
18 36 45
18 37 49
18 38 86
18 39 55
18 40 65
18 41 57
18 42 17
18 43 94
18 44 64
18 45 93
18 46 14
18 47 11
18 48 53
18 49 95
19 20 48
19 21 59
19 22 4
19 23 84
19 24 18
19 25 97
19 26 20
19 27 30
19 28 51
19 29 97
19 30 61
19 31 35
19 32 61
19 33 96
19 34 79
19 35 60
19 36 64
19 37 60
19 38 10
19 39 28
19 40 3
19 41 5
19 42 50
19 43 16
19 44 5
19 45 12
19 46 28
19 47 1
19 48 62
19 49 12
20 21 86
20 22 8
20 23 56
20 24 52
20 25 13
20 26 92
20 27 22
20 28 65
20 29 80
20 30 23
20 31 94
20 32 33
20 33 19
20 34 5
20 35 27
20 36 21
20 37 11
20 38 48
20 39 67
20 40 4
20 41 37
20 42 92
20 43 88
20 44 15
20 45 14
20 46 54
20 47 57
20 48 83
20 49 88
21 22 30
21 23 45
21 24 2
21 25 26
21 26 28
21 27 20
21 28 48
21 29 24
21 30 5
21 31 93
21 32 98
21 33 38
21 34 88
21 35 51
21 36 21
21 37 41
21 38 67
21 39 95
21 40 32
21 41 30
21 42 71
21 43 1
21 44 60
21 45 49
21 46 90
21 47 97
21 48 44
21 49 21
22 23 54
22 24 52
22 25 87
22 26 44
22 27 68
22 28 42
22 29 27
22 30 61
22 31 63
22 32 38
22 33 81
22 34 29
22 35 82
22 36 15
22 37 16
22 38 93
22 39 80
22 40 26
22 41 8
22 42 98
22 43 35
22 44 25
22 45 11
22 46 54
22 47 69
22 48 60
22 49 95
23 24 16
23 25 73
23 26 42
23 27 14
23 28 14
23 29 86
23 30 70
23 31 95
23 32 19
23 33 37
23 34 68
23 35 2
23 36 43
23 37 81
23 38 52
23 39 90
23 40 22
23 41 22
23 42 69
23 43 64
23 44 66
23 45 55
23 46 56
23 47 17
23 48 58
23 49 76
24 25 39
24 26 62
24 27 33
24 28 92
24 29 15
24 30 36
24 31 97
24 32 79
24 33 23
24 34 47
24 35 3
24 36 74
24 37 52
24 38 97
24 39 9
24 40 14
24 41 41
24 42 55
24 43 65
24 44 99
24 45 12
24 46 5
24 47 5
24 48 3
24 49 85
25 26 78
25 27 76
25 28 53
25 29 69
25 30 18
25 31 56
25 32 23
25 33 58
25 34 59
25 35 63
25 36 6
25 37 88
25 38 19
25 39 29
25 40 78
25 41 48
25 42 22
25 43 22
25 44 87
25 45 15
25 46 17
25 47 93
25 48 98
25 49 81
26 27 79
26 28 65
26 29 74
26 30 35
26 31 62
26 32 35
26 33 30
26 34 97
26 35 27
26 36 70
26 37 37
26 38 61
26 39 21
26 40 96
26 41 20
26 42 27
26 43 86
26 44 38
26 45 20
26 46 10
26 47 66
26 48 37
26 49 72
27 28 27
27 29 1
27 30 30
27 31 66
27 32 84
27 33 66
27 34 67
27 35 86
27 36 80
27 37 13
27 38 17
27 39 19
27 40 2
27 41 96
27 42 85
27 43 51
27 44 42
27 45 98
27 46 59
27 47 60
27 48 18
27 49 99
28 29 51
28 30 82
28 31 73
28 32 19
28 33 31
28 34 80
28 35 2
28 36 74
28 37 74
28 38 7
28 39 65
28 40 37
28 41 13
28 42 53
28 43 1
28 44 70
28 45 7
28 46 69
28 47 21
28 48 34
28 49 20
29 30 29
29 31 26
29 32 49
29 33 71
29 34 97
29 35 72
29 36 92
29 37 99
29 38 20
29 39 49
29 40 61
29 41 53
29 42 13
29 43 94
29 44 96
29 45 19
29 46 54
29 47 37
29 48 42
29 49 96
30 31 75
30 32 53
30 33 100
30 34 82
30 35 11
30 36 61
30 37 15
30 38 61
30 39 39
30 40 42
30 41 88
30 42 82
30 43 15
30 44 86
30 45 37
30 46 16
30 47 47
30 48 12
30 49 72
31 32 71
31 33 11
31 34 39
31 35 70
31 36 76
31 37 25
31 38 95
31 39 54
31 40 1
31 41 1
31 42 63
31 43 90
31 44 99
31 45 38
31 46 37
31 47 41
31 48 74
31 49 60
32 33 29
32 34 91
32 35 41
32 36 81
32 37 23
32 38 80
32 39 80
32 40 19
32 41 3
32 42 95
32 43 46
32 44 12
32 45 47
32 46 66
32 47 76
32 48 68
32 49 42
33 34 57
33 35 50
33 36 99
33 37 62
33 38 48
33 39 22
33 40 19
33 41 19
33 42 56
33 43 43
33 44 12
33 45 11
33 46 39
33 47 25
33 48 51
33 49 33
34 35 71
34 36 88
34 37 30
34 38 45
34 39 72
34 40 42
34 41 75
34 42 12
34 43 80
34 44 88
34 45 21
34 46 6
34 47 43
34 48 44
34 49 74
35 36 58
35 37 21
35 38 21
35 39 9
35 40 21
35 41 60
35 42 29
35 43 84
35 44 63
35 45 37
35 46 65
35 47 41
35 48 68
35 49 40
36 37 88
36 38 74
36 39 79
36 40 71
36 41 72
36 42 45
36 43 82
36 44 80
36 45 88
36 46 13
36 47 46
36 48 43
36 49 30
37 38 66
37 39 97
37 40 84
37 41 85
37 42 77
37 43 27
37 44 87
37 45 63
37 46 92
37 47 79
37 48 87
37 49 80
38 39 23
38 40 19
38 41 80
38 42 65
38 43 81
38 44 19
38 45 36
38 46 28
38 47 52
38 48 46
38 49 35
39 40 2
39 41 18
39 42 80
39 43 31
39 44 2
39 45 35
39 46 100
39 47 86
39 48 36
39 49 29
40 41 64
40 42 7
40 43 6
40 44 11
40 45 51
40 46 63
40 47 6
40 48 51
40 49 79
41 42 97
41 43 21
41 44 45
41 45 40
41 46 41
41 47 90
41 48 94
41 49 82
42 43 64
42 44 61
42 45 99
42 46 28
42 47 95
42 48 8
42 49 52
43 44 43
43 45 29
43 46 47
43 47 15
43 48 77
43 49 77
44 45 24
44 46 64
44 47 67
44 48 17
44 49 61
45 46 66
45 47 83
45 48 28
45 49 13
46 47 53
46 48 52
46 49 25
47 48 43
47 49 100
48 49 50
